Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Specificity,Sensitivity,MCC,Brier Score
Random Forest,0.9306666666666666,1.0,0.3246753246753247,0.49019607843137253,0.9604865788001004,0.8753405032153,1.0,0.3246753246753247,0.5489884032522985,0.04526773333333334
XGBoost,0.9706666666666667,0.9365079365079365,0.7662337662337663,0.842857142857143,0.974918469346404,0.9209626870672754,0.9940564635958395,0.7662337662337663,0.8319240147119199,0.022676805452187476
GAT (Proxy),0.98,0.9366197183098591,0.8636363636363636,0.8986486486486487,0.9766986356882345,0.9344188163572207,0.9933135215453195,0.8636363636363636,0.8884730483905317,0.018507383696189764
GATv2 (Proxy),0.9846666666666667,0.9781021897810219,0.8701298701298701,0.9209621993127147,0.981846162752552,0.9539752205208093,0.9977711738484398,0.8701298701298701,0.9144182594649042,0.013800887774799977
Spatio-Temporal TGN (Proposed),0.982,0.9635036496350365,0.8571428571428571,0.9072164948453608,0.9819619459292565,0.9473561668528068,0.9962852897473997,0.8571428571428571,0.89916965312148,0.016792752841504794
